Index [<ind>],Particle X-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Y-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Z-Coordinate X Particle ID (Study 01 - Particles) [m]
159,-0.306763,-1.08495,0.00902312
160,0.419427,-1.08197,0.254733
161,-0.27023,-1.0806,0.306035
162,-0.331469,0.018111,0.267101
163,-0.105464,-1.08425,0.362443
164,-0.117385,-1.08084,-0.0960192
165,-0.0399265,-1.0829,0.0713937
166,0.149557,-1.08357,-0.363935
167,-0.374517,0.0155392,-0.0797646
168,-0.47837,-1.08419,0.384135
169,0.00687202,-1.0593,0.19597
170,0.329732,0.0198734,-0.0282826
171,0.31477,-1.08484,-0.106347
172,-0.0803523,-1.08366,0.223644
173,-0.220897,-1.08505,0.00591609
174,-0.0500943,-1.08138,-0.0491335
175,-0.185229,-1.08065,-0.380409
176,-0.231101,-1.08493,-0.324789
177,-0.0255123,-1.08513,0.22099
178,0.316539,-1.08367,-0.137979
179,-0.279927,0.0177212,-0.185943
180,0.128991,-1.08173,0.0979001
181,-0.381984,0.0171715,0.176228
182,0.176458,-1.08357,-0.383473
183,0.331981,0.0168995,0.259398
184,0.481293,-1.08135,0.218128
185,0.0223059,-1.08082,0.171306
186,-0.346211,-0.776154,-0.138914
187,0.0368093,-1.08418,-0.19157
188,-0.329251,-1.05002,0.0892
189,-0.237787,0.0162708,-0.383713
190,0.00803121,-1.06109,-0.146726
191,0.323569,0.0158367,-0.292578
192,-0.0440874,-1.08184,-0.268807
193,0.480894,-1.02271,0.111623
194,0.00083068,-1.0849,-0.357322
195,0.197458,-1.08275,0.0460025
196,-0.23478,0.0172521,0.0408283
197,-0.308186,-1.08132,-0.0247281
198,-0.140751,-1.08315,-0.157596
199,-0.119335,-1.08361,0.136885
200,0.288754,0.0171464,0.256768
201,-0.413179,-0.856068,0.371381
202,0.229638,-1.08223,-0.197855
203,-0.0440756,-1.08178,-0.163702
204,-0.258424,0.0181412,0.18243
205,-0.0944467,-1.08187,0.294887
206,0.251295,0.0172615,-0.175744
207,0.149941,-1.08343,0.383327
208,0.361843,0.0149935,0.317717
209,0.0297273,-1.08287,0.300619
210,-0.324812,-1.08375,-0.127197
211,-0.409411,0.0191792,-0.291795
212,-0.186774,-1.08029,-0.0157477
213,-0.0666846,-1.08223,0.131599
214,-0.11961,-1.08394,-0.369319
215,0.0707853,-1.08505,0.25574
216,0.110893,-1.08549,-0.284293
217,0.0681883,-1.08264,-0.20318
218,-0.252302,0.0150152,0.00960102
219,0.483234,-1.04408,-0.00034327
220,0.173339,-1.08465,-0.0433643
221,0.392216,0.0164139,0.209736
222,0.178874,-1.08513,0.018797
223,0.100245,-1.08468,-0.318381
224,0.0714904,-1.0822,0.356115
225,0.260365,-1.08048,0.073163
226,0.0459038,-1.08319,0.0172834
